amp,ROI,position,subject
0,0,0,0
0,0,0,0
0.685960913153836,5,2,1
0,0,0,0
0,0,0,0
0,0,0,0
0.94210209712838,5,2,2
0,0,0,0
0,0,0,0
0,0,0,0
0.487484037348795,5,2,3
0,0,0,0
0,0,0,0
0,0,0,0
0.807898159748773,5,2,4
0,0,0,0
0,0,0,0
0,0,0,0
0.617619601049364,5,2,5
0,0,0,0
0,0,0,0
0,0,0,0
0.742089878971782,5,2,6
0,0,0,0
0,0,0,0
0,0,0,0
0.988925754873958,5,2,7
0,0,0,0
0,0,0,0
0,0,0,0
0.340361468909819,5,2,8
0,0,0,0
0,0,0,0
0,0,0,0
0.839902029331825,5,2,9
0,0,0,0
0,0,0,0
0,0,0,0
0.746050168408819,6,2,1
0,0,0,0
0,0,0,0
0,0,0,0
0.730908647590731,6,2,2
0,0,0,0
0,0,0,0
0,0,0,0
0.845051008494679,6,2,3
0,0,0,0
0,0,0,0
0,0,0,0
0.797975622654614,6,2,4
0,0,0,0
0,0,0,0
0,0,0,0
0.698159240224952,6,2,5
0,0,0,0
0,0,0,0
0,0,0,0
0.813792990677281,6,2,6
0,0,0,0
0,0,0,0
0,0,0,0
0.47739025058399,6,2,7
0,0,0,0
0,0,0,0
0,0,0,0
0.702106226487273,6,2,8
0,0,0,0
0,0,0,0
0,0,0,0
0.640491650498354,6,2,9
0,0,0,0
0,0,0,0
0,0,0,0
0.73602104936367,7,2,1
0,0,0,0
0,0,0,0
0,0,0,0
0.510595457939814,7,2,2
0,0,0,0
0,0,0,0
0,0,0,0
0.800725780996994,7,2,3
0,0,0,0
0,0,0,0
0,0,0,0
0.629198098345713,7,2,4
0,0,0,0
0,0,0,0
0,0,0,0
0.432234319570472,7,2,5
0,0,0,0
0,0,0,0
0,0,0,0
0.591477443935819,7,2,6
0,0,0,0
0,0,0,0
0,0,0,0
0.709145271578766,7,2,7
0,0,0,0
0,0,0,0
0,0,0,0
0.533566315125004,7,2,8
0,0,0,0
0,0,0,0
0,0,0,0
0.603360052776149,7,2,9
0,0,0,0
0,0,0,0
0,0,0,0
0.608471002312472,8,2,1
0,0,0,0
0,0,0,0
0,0,0,0
0.967766455679758,8,2,2
0,0,0,0
0,0,0,0
0,0,0,0
0.485146358583677,8,2,3
0,0,0,0
0,0,0,0
0,0,0,0
0.878020857865313,8,2,4
0,0,0,0
0,0,0,0
0,0,0,0
0.863480866956389,8,2,5
