base,ROI,position,subject
0,0,0,0
0,0,0,0
0,0,0,0
0.0330237934753774,4,2,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.213700105976401,4,2,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.22035903245233,4,2,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.0725298320839958,4,2,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.119521144094222,4,2,9
0,0,0,0
0,0,0,0
0,0,0,0
-0.183658126815012,5,2,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.392272357822293,5,2,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.289689353197108,5,2,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.18235706913525,5,2,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.291782618225269,5,2,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.218785700446814,5,2,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.392012496180275,5,2,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.0792207945336416,5,2,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.299163209770078,5,2,9
0,0,0,0
0,0,0,0
0,0,0,0
-0.0351836321032732,6,2,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.227932966430267,6,2,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.322905338326281,6,2,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.0852028958568142,6,2,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.294775906794057,6,2,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.256218738488138,6,2,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.245055880225626,6,2,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.105485554827281,6,2,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.192928791945425,6,2,9
0,0,0,0
0,0,0,0
0,0,0,0
-0.12006722381022,7,2,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.128354097632152,7,2,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.30189536495335,7,2,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.0713048956108435,7,2,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.248689974960735,7,2,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.240849894131981,7,2,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.301564855571051,7,2,7
0,0,0,0
0,0,0,0
0,0,0,0
