size,ROI,position,subject
0,0,0,0
7.20091800134878,1,3,4
0,0,0,0
0,0,0,0
0,0,0,0
5.80098212329283,1,3,5
0,0,0,0
0,0,0,0
0,0,0,0
6.29984695927013,1,3,6
0,0,0,0
0,0,0,0
0,0,0,0
8,1,3,7
0,0,0,0
0,0,0,0
0,0,0,0
4.53684696800036,1,3,8
0,0,0,0
0,0,0,0
0,0,0,0
5.46172301512196,1,3,9
0,0,0,0
0,0,0,0
0,0,0,0
5.00044957470572,2,3,1
0,0,0,0
0,0,0,0
0,0,0,0
3.22894290537272,2,3,2
0,0,0,0
0,0,0,0
0,0,0,0
4.70237035369092,2,3,3
0,0,0,0
0,0,0,0
0,0,0,0
5.69887279721903,2,3,4
0,0,0,0
0,0,0,0
0,0,0,0
5.73922886549309,2,3,5
0,0,0,0
0,0,0,0
0,0,0,0
5.18357244703238,2,3,6
0,0,0,0
0,0,0,0
0,0,0,0
3.80005729014523,2,3,7
0,0,0,0
0,0,0,0
0,0,0,0
4.09830895964472,2,3,8
0,0,0,0
0,0,0,0
0,0,0,0
5.90112565392932,2,3,9
0,0,0,0
0,0,0,0
0,0,0,0
4.63847580631706,3,3,1
0,0,0,0
0,0,0,0
0,0,0,0
3.70234525300314,3,3,2
0,0,0,0
0,0,0,0
0,0,0,0
6.09924580577648,3,3,3
0,0,0,0
0,0,0,0
0,0,0,0
7.10041205029677,3,3,4
0,0,0,0
0,0,0,0
0,0,0,0
5.26847904483014,3,3,5
0,0,0,0
0,0,0,0
0,0,0,0
4.82907199696092,3,3,6
0,0,0,0
0,0,0,0
0,0,0,0
8.2,3,3,7
0,0,0,0
0,0,0,0
0,0,0,0
5.28013498640047,3,3,8
0,0,0,0
0,0,0,0
0,0,0,0
5.49934825418262,3,3,9
0,0,0,0
0,0,0,0
0,0,0,0
4.8,4,3,1
0,0,0,0
0,0,0,0
0,0,0,0
3.36989985490989,4,3,2
0,0,0,0
0,0,0,0
0,0,0,0
6.7,4,3,3
0,0,0,0
0,0,0,0
0,0,0,0
2.94308742565264,4,3,4
0,0,0,0
0,0,0,0
0,0,0,0
4.85504958468068,4,3,5
0,0,0,0
0,0,0,0
0,0,0,0
4.55745149107678,4,3,6
0,0,0,0
0,0,0,0
0,0,0,0
3.56074077519654,4,3,7
0,0,0,0
0,0,0,0
0,0,0,0
5.93064353432585,4,3,8
0,0,0,0
0,0,0,0
0,0,0,0
4.94219985838821,4,3,9
0,0,0,0
0,0,0,0
0,0,0,0
4.40387737776409,5,3,1
0,0,0,0
0,0,0,0
0,0,0,0
4.3694143776096,5,3,2
0,0,0,0
0,0,0,0
0,0,0,0
6.39998722853797,5,3,3
0,0,0,0
0,0,0,0
0,0,0,0
3.22771727970579,5,3,4
0,0,0,0
0,0,0,0
0,0,0,0
5.60089774264065,5,3,5
0,0,0,0
0,0,0,0
0,0,0,0
4.6,5,3,6
0,0,0,0
0,0,0,0
0,0,0,0
4.40061853709451,5,3,7
0,0,0,0
0,0,0,0
0,0,0,0
4.91988367578717,5,3,8
0,0,0,0
0,0,0,0
0,0,0,0
4.45350959553815,5,3,9
0,0,0,0
0,0,0,0
0,0,0,0
4.99787863978737,6,3,1
0,0,0,0
0,0,0,0
0,0,0,0
4.19766823661005,6,3,2
0,0,0,0
0,0,0,0
0,0,0,0
5.60113962374849,6,3,3
0,0,0,0
0,0,0,0
0,0,0,0
7.20212119095342,6,3,4
0,0,0,0
0,0,0,0
0,0,0,0
5.59853575040124,6,3,5
0,0,0,0
0,0,0,0
0,0,0,0
5.90038795427665,6,3,6
0,0,0,0
0,0,0,0
0,0,0,0
4.42901195635122,6,3,7
0,0,0,0
0,0,0,0
0,0,0,0
3.63719320026236,6,3,8
0,0,0,0
0,0,0,0
0,0,0,0
6.40238430893966,6,3,9
0,0,0,0
0,0,0,0
0,0,0,0
4.85165321392028,7,3,1
0,0,0,0
0,0,0,0
0,0,0,0
7.03684768257373,7,3,2
0,0,0,0
0,0,0,0
0,0,0,0
10.1985091044368,7,3,3
0,0,0,0
0,0,0,0
0,0,0,0
6.39970389177789,7,3,4
0,0,0,0
0,0,0,0
0,0,0,0
4.99805966855906,7,3,5
0,0,0,0
0,0,0,0
0,0,0,0
4.38677989277605,7,3,6
0,0,0,0
0,0,0,0
0,0,0,0
4.10069697463849,7,3,7
0,0,0,0
0,0,0,0
0,0,0,0
5.10139908871994,7,3,8
0,0,0,0
0,0,0,0
0,0,0,0
4.82881456216544,7,3,9
0,0,0,0
0,0,0,0
0,0,0,0
4.64570523054556,8,3,1
0,0,0,0
0,0,0,0
0,0,0,0
2.89998693964605,8,3,2
0,0,0,0
0,0,0,0
0,0,0,0
8.30384928437523,8,3,3
0,0,0,0
0,0,0,0
0,0,0,0
5.9,8,3,4
0,0,0,0
0,0,0,0
0,0,0,0
4.83709662073624,8,3,5
0,0,0,0
0,0,0,0
0,0,0,0
6.18711797958099,8,3,6
0,0,0,0
0,0,0,0
0,0,0,0
4.78556309367162,8,3,7
0,0,0,0
0,0,0,0
0,0,0,0
4.40078642097808,8,3,8
0,0,0,0
0,0,0,0
0,0,0,0
6.09873805394712,8,3,9
0,0,0,0
0,0,0,0
0,0,0,0
5.97407607544817,9,3,1
0,0,0,0
0,0,0,0
0,0,0,0
4.04658071837401,9,3,2
0,0,0,0
0,0,0,0
0,0,0,0
6.20080615603703,9,3,3
0,0,0,0
0,0,0,0
0,0,0,0
5.80084961910463,9,3,4
0,0,0,0
0,0,0,0
0,0,0,0
5.33993436661008,9,3,5
0,0,0,0
0,0,0,0
0,0,0,0
4.69942416562996,9,3,6
0,0,0,0
0,0,0,0
0,0,0,0
5.3,9,3,7
0,0,0,0
0,0,0,0
0,0,0,0
5.32134677719797,9,3,8
0,0,0,0
0,0,0,0
0,0,0,0
5.47326678148635,9,3,9
0,0,0,0
0,0,0,0
0,0,0,0
4.41826585671105,1,4,1
0,0,0,0
0,0,0,0
0,0,0,0
5.45379783477723,1,4,2
0,0,0,0
0,0,0,0
0,0,0,0
3.50078921746819,1,4,3
0,0,0,0
0,0,0,0
0,0,0,0
5.0413711010254,1,4,4
0,0,0,0
0,0,0,0
0,0,0,0
4.43483154703874,1,4,5
0,0,0,0
0,0,0,0
0,0,0,0
5.06144802432395,1,4,6
0,0,0,0
0,0,0,0
0,0,0,0
6.09424132126046,1,4,7
0,0,0,0
0,0,0,0
0,0,0,0
4.41921497461362,1,4,8
0,0,0,0
0,0,0,0
0,0,0,0
3.6,1,4,9
0,0,0,0
0,0,0,0
0,0,0,0
4.79940743982452,2,4,1
0,0,0,0
0,0,0,0
0,0,0,0
5.70067974111822,2,4,2
0,0,0,0
0,0,0,0
0,0,0,0
3.29948292095779,2,4,3
0,0,0,0
0,0,0,0
0,0,0,0
4.67964151425051,2,4,4
0,0,0,0
0,0,0,0
0,0,0,0
3.11558718364833,2,4,5
0,0,0,0
0,0,0,0
0,0,0,0
4.1197665740639,2,4,6
0,0,0,0
0,0,0,0
0,0,0,0
4.90024970525838,2,4,7
0,0,0,0
0,0,0,0
0,0,0,0
5.29886662046204,2,4,8
0,0,0,0
0,0,0,0
0,0,0,0
3.80027343857494,2,4,9
0,0,0,0
0,0,0,0
0,0,0,0
8.69979690916323,3,4,1
0,0,0,0
0,0,0,0
0,0,0,0
5.70426733779824,3,4,2
0,0,0,0
0,0,0,0
0,0,0,0
3.07292026922489,3,4,3
0,0,0,0
0,0,0,0
0,0,0,0
4.39899798574114,3,4,4
0,0,0,0
0,0,0,0
0,0,0,0
3.88564186088481,3,4,5
0,0,0,0
0,0,0,0
0,0,0,0
4.29935682992949,3,4,6
0,0,0,0
0,0,0,0
0,0,0,0
4.50019468155863,3,4,7
0,0,0,0
0,0,0,0
0,0,0,0
6.24947071344648,3,4,8
0,0,0,0
0,0,0,0
0,0,0,0
6.29883170019809,3,4,9
0,0,0,0
0,0,0,0
0,0,0,0
8.4,4,4,1
0,0,0,0
0,0,0,0
0,0,0,0
4.9996701770801,4,4,2
0,0,0,0
0,0,0,0
0,0,0,0
2.63427162937842,4,4,3
0,0,0,0
0,0,0,0
0,0,0,0
4.43194491183626,4,4,4
0,0,0,0
0,0,0,0
0,0,0,0
4.63302017519377,4,4,5
0,0,0,0
0,0,0,0
0,0,0,0
5.19841475340107,4,4,6
0,0,0,0
0,0,0,0
0,0,0,0
7.7,4,4,7
0,0,0,0
0,0,0,0
0,0,0,0
7.60229952080111,4,4,8
0,0,0,0
0,0,0,0
0,0,0,0
2.81609796759931,4,4,9
0,0,0,0
0,0,0,0
0,0,0,0
4.85420544890671,5,4,1
0,0,0,0
0,0,0,0
0,0,0,0
6.30188637135169,5,4,2
0,0,0,0
0,0,0,0
0,0,0,0
7.20091867785153,5,4,3
0,0,0,0
0,0,0,0
0,0,0,0
4.0350680851154,5,4,4
0,0,0,0
0,0,0,0
0,0,0,0
2.6522415673811,5,4,5
0,0,0,0
0,0,0,0
0,0,0,0
4.66071244545543,5,4,6
0,0,0,0
0,0,0,0
0,0,0,0
11.6,5,4,7
0,0,0,0
0,0,0,0
0,0,0,0
4.95927436920038,5,4,8
0,0,0,0
0,0,0,0
0,0,0,0
4.50100815779741,5,4,9
0,0,0,0
0,0,0,0
0,0,0,0
4.36257804688722,6,4,1
0,0,0,0
0,0,0,0
0,0,0,0
6.7,6,4,2
0,0,0,0
0,0,0,0
0,0,0,0
3.00228871837389,6,4,3
0,0,0,0
0,0,0,0
0,0,0,0
5.13801045382825,6,4,4
0,0,0,0
0,0,0,0
0,0,0,0
3.24541492354059,6,4,5
0,0,0,0
0,0,0,0
0,0,0,0
3.94933955894973,6,4,6
0,0,0,0
0,0,0,0
0,0,0,0
3.99418582913555,6,4,7
0,0,0,0
0,0,0,0
0,0,0,0
4.39984862531451,6,4,8
0,0,0,0
0,0,0,0
0,0,0,0
4.09825281335004,6,4,9
0,0,0,0
0,0,0,0
0,0,0,0
4.8,7,4,1
0,0,0,0
0,0,0,0
0,0,0,0
4.80978279609273,7,4,2
0,0,0,0
0,0,0,0
0,0,0,0
4.74406169573568,7,4,3
0,0,0,0
0,0,0,0
0,0,0,0
4.42062736769327,7,4,4
0,0,0,0
0,0,0,0
0,0,0,0
3.99830690986501,7,4,5
0,0,0,0
0,0,0,0
0,0,0,0
4.19310185652484,7,4,6
0,0,0,0
0,0,0,0
0,0,0,0
2.2,7,4,7
0,0,0,0
0,0,0,0
0,0,0,0
4.00033130205702,7,4,8
0,0,0,0
0,0,0,0
0,0,0,0
3.80154134758825,7,4,9
0,0,0,0
0,0,0,0
0,0,0,0
4.62903031945517,8,4,1
0,0,0,0
0,0,0,0
0,0,0,0
6.26246904857979,8,4,2
0,0,0,0
0,0,0,0
0,0,0,0
7.39918229858783,8,4,3
0,0,0,0
0,0,0,0
0,0,0,0
4.6994389518565,8,4,4
0,0,0,0
0,0,0,0
0,0,0,0
3.69922637872469,8,4,5
0,0,0,0
0,0,0,0
0,0,0,0
4.00024316159539,8,4,6
0,0,0,0
0,0,0,0
0,0,0,0
2.65760349150602,8,4,7
0,0,0,0
0,0,0,0
0,0,0,0
4.51296111249581,8,4,8
0,0,0,0
0,0,0,0
0,0,0,0
4.10112431257124,8,4,9
0,0,0,0
0,0,0,0
0,0,0,0
5.53422069238435,9,4,1
0,0,0,0
0,0,0,0
0,0,0,0
5.94574786551014,9,4,2
0,0,0,0
0,0,0,0
0,0,0,0
2.76698629407806,9,4,3
0,0,0,0
0,0,0,0
0,0,0,0
5.9,9,4,4
0,0,0,0
0,0,0,0
0,0,0,0
4.54568928296888,9,4,5
0,0,0,0
0,0,0,0
0,0,0,0
3.7016370478246,9,4,6
0,0,0,0
0,0,0,0
0,0,0,0
5.75742316386648,9,4,7
0,0,0,0
0,0,0,0
0,0,0,0
4.8465598741312,9,4,8
0,0,0,0
0,0,0,0
0,0,0,0
4.59753224216366,9,4,9
0,0,0,0
0,0,0,0
0,0,0,0
3.10047106115568,1,5,1
0,0,0,0
0,0,0,0
0,0,0,0
6.79947268248676,1,5,2
0,0,0,0
0,0,0,0
0,0,0,0
5.70025603150472,1,5,3
0,0,0,0
0,0,0,0
0,0,0,0
3.95392410113282,1,5,4
0,0,0,0
0,0,0,0
0,0,0,0
5.62621639627289,1,5,5
0,0,0,0
0,0,0,0
0,0,0,0
2.59939967436056,1,5,6
0,0,0,0
0,0,0,0
0,0,0,0
10.3998923487846,1,5,7
0,0,0,0
0,0,0,0
0,0,0,0
3.59934767714184,1,5,8
0,0,0,0
0,0,0,0
0,0,0,0
3.54527262808182,1,5,9
0,0,0,0
0,0,0,0
0,0,0,0
2.74839373614287,2,5,1
0,0,0,0
0,0,0,0
0,0,0,0
4.89905810470307,2,5,2
0,0,0,0
0,0,0,0
0,0,0,0
4.10036177358895,2,5,3
0,0,0,0
0,0,0,0
0,0,0,0
4.87773419814029,2,5,4
0,0,0,0
0,0,0,0
0,0,0,0
7.60016994090924,2,5,5
0,0,0,0
0,0,0,0
0,0,0,0
3.02423938629487,2,5,6
0,0,0,0
0,0,0,0
0,0,0,0
11,2,5,7
0,0,0,0
0,0,0,0
0,0,0,0
3.45189288325023,2,5,8
0,0,0,0
0,0,0,0
0,0,0,0
2.59845959196949,2,5,9
0,0,0,0
0,0,0,0
0,0,0,0
2.96468282313088,3,5,1
0,0,0,0
0,0,0,0
0,0,0,0
3.6992166329241,3,5,2
0,0,0,0
0,0,0,0
0,0,0,0
4.19756312312502,3,5,3
0,0,0,0
0,0,0,0
0,0,0,0
5.23668533487433,3,5,4
0,0,0,0
0,0,0,0
0,0,0,0
4.1011328299607,3,5,5
0,0,0,0
0,0,0,0
0,0,0,0
2.5983812280219,3,5,6
0,0,0,0
